,code,lat,lon,city,name
2297,PBJ,-16.2368,167.492,Paama,Malampa
2298,PBM,5.45,-55.1867,Sabakoe,Zandery Airport
2299,PBO,-23.1688,117.748,Paraburdoo,Paraburdoo Airport
2300,PBP,9.85917,-85.3692,Punta Islita,Punta Islita Airport
2301,PBU,27.33,97.4306,Putao,Putao Airport
2302,PCE,57.093,-157.258,Painter Creek,Painter Creek
2303,PCL,-8.3753,-74.5731,Callaria,Pucallpa Airport
2304,PCR,6.18333,-67.6333,Puerto Carreño,Puerto Carreno Airport
2305,PDA,3.95607,-67.784,Guaviare,Puerto Inirida Airport
2306,PDB,59.7868,-154.105,Pedro Bay,Pedro Bay
2307,PDG,-0.8794,100.352,Padang,Tabing Airport
2308,PDL,37.7375,-25.6983,Ponta Delgada,Ponta Delgada Airport
2309,PDP,-34.9111,-54.9197,Punta del Este,Maldonado Airport
2310,PDS,28.7,-100.55,Piedras Negras,Piedras Negras International Airport
2311,PDT,45.6893,-118.839,Pendleton,Eastern Oregon Regional Airport
2312,PDX,45.5867,-122.587,Portland,Portland International Airport
2313,PEC,57.95,-136.233,Pelican,Pelican Sea Plane Base
2314,PED,50.0372,15.7785,Pardubice,Pardubice
2315,PEE,57.9114,56.0174,Perm',Bolshesavino Airport
2316,PEG,43.1021,12.5075,Assisi,Perugia Airport
2317,PEI,4.8147,-75.745,Pereira,Matecana Airport
2318,PEK,40.0724,116.583,Shunyi,Beijing Capital Airport
2319,PEM,-12.6128,-69.2297,Puerto Maldonado,Padre Aldamiz Airport
2320,PEN,5.2975,100.278,Batu Maung,Penang International Airport
2321,PER,-31.9336,115.961,Perth,Perth International Airport
2322,PES,61.8886,34.1452,Petrozavodsk,Petrozavodsk Northwest Airport
2323,PET,-31.7181,-52.3244,Pelotas,Pelotas Airport
2324,PEU,15.2404,-83.7794,Puerto Lempira,Puerto Lempira Airport
2325,PEW,33.9933,71.515,Peshawar,Peshawar Airport
2326,PEX,65.1179,57.1095,Ukhta,Pechora Southwest Airport
2327,PEZ,53.2167,45,Penza,Penza
2328,PFB,-28.2447,-52.3317,Passo Fundo,Lauro Kurtz Airport
2329,PFN,30.2071,-85.6829,Panama City,Panama City Bay County Airport
2330,PFO,34.7194,32.4847,Paphos,Paphos International Airport
2331,PFQ,39.6053,47.8758,Parsabad,Parsabad
2332,PGA,36.9243,-111.451,Page,Page Municipal Airport
2333,PGF,42.74,2.8692,Perpignan,Rivesaltes Airport
2334,PGK,-2.1606,106.141,Pangkalpinang,Pangkalpinang Airport
2335,PGM,59.35,-151.833,Port Graham,Port Graham
2336,PGU,36.9243,-111.451,Asalouyeh,Page Municipal Airport
2337,PGV,35.6336,-77.3808,Greenville,Pitt Greenville Airport
2338,PGX,45.1951,0.81208,St-Pierre,Bassillac Airport
2339,PHC,5.0125,6.9625,Port Harcourt,Port Harcourt International Airport
2340,PHE,-20.3772,118.63,Port Hedland,Port Hedland Airport
2341,PHF,37.1306,-76.5026,Newport News,Newport News-Williamsburg International Airport
2342,PHG,4.85,7.01667,Port Harcourt,Port Harcourt City
2343,PHL,39.8768,-75.2419,Philadelphia,Philadelphia International Airport
2344,PHO,68.3494,-166.797,Point Hope,Point Hope Airport
2345,PHS,16.7861,100.278,Phitsanulok,Phitsanulok Airport
2346,PHW,-23.9336,31.1561,Phalaborwa,Hendrik Van Eck Airport
2347,PHX,33.4376,-112.03,Phoenix,Sky Harbor International Airport
2348,PIA,40.6663,-89.6909,Peoria,Greater Peoria Regional Airport
2349,PIB,31.4671,-89.3333,Moselle,Pine Belt Regional Airport
2350,PIE,27.9065,-82.6924,Clearwater,St. Petersburg-Clearwater International Airport
2351,PIF,22.6781,120.471,Pingtung,Pingdong Airport
2352,PIH,42.9056,-112.588,Pocatello,Pocatello Municipal Airport
2353,PIK,55.5091,-4.6109,Prestwick,Glasgow Prestwick International Airport
2354,PIN,-2.6658,-56.7822,Parintins,Parintins Airport
2355,PIP,57.5631,-157.558,Pilot Point,Pilot Point Airport
2356,PIR,44.3801,-100.293,Pierre,Pierre Municipal Airport
2357,PIS,46.5859,0.31135,Vouneuil-sous-Biard,Biard Airport
2358,PIT,40.4914,-80.2328,Coraopolis,Pittsburgh International Airport
2359,PIU,-5.2022,-80.6142,Piura,Capitan Concha Airport
2360,PIW,55.5833,-97.15,Nelson House,Pikwitonei Airport
2361,PIX,38.5539,-28.4442,Madalena,Pico Airport
2362,PIZ,69.7333,-163.017,Point Lay,Dew Station
2363,PJA,62.1984,17.5514,Pajala,Sweden
2364,PJG,26.9547,64.1331,Panjgur,Panjgur Airport
2365,PJM,8.53994,-83.3227,Puerto Jiménez,Puerto Jimenez Airport
2366,PKA,60.7049,-161.766,Napaskiak,Alaska
2367,PKB,39.3462,-81.4345,Williamstown,Wood County Airport-Gill Robb Wilson Field
2368,PKC,53.1663,158.447,Elizovo,Petropavlovsk Yelizovo Airport
2369,PKE,-33.1358,148.235,Parkes,Parkes Airport
2370,PKG,4.21667,100.55,Pangkor,Pangkor Airport
2371,PKK,21.3333,95.1,Pakokku,Pakokku
2372,PKP,-8.64687,-131.787,Puka Puka,French Polynesia
2373,PKR,28.2,83.9833,Pokhara,Pokhara Airport
2374,PKU,0.4642,101.439,Pekanbaru,Simpang Tiga Airport
2375,PKY,-2.2228,113.938,Buntok,Tjilik Riwut Airport
2376,PKZ,15.1303,105.785,Pakxe,Pakse Airport
2377,PLD,9.88107,-85.5507,Nicoya,Playa Samara Airport
2378,PLH,50.423,-4.11154,Plymouth,Roborough Airport
2379,PLJ,17.1929,-88.6528,Placencia,Belize
2380,PLM,-2.9003,104.698,Palembang,Sultan Mahmud Badaruddin Ii Airport
2381,PLN,45.571,-84.7857,Pellston,Pellston Regional Airport
2382,PLO,-34.6041,135.879,Port Lincoln,Port Lincoln Airport
2383,PLQ,55.9661,21.0825,Klaipeda/Palanga,Palanga International
2384,PLS,21.7728,-72.2683,The Bight Settlements,Providenciales Airport
2385,PLU,-19.8517,-43.9508,Belo Horizonte,Pampulha Airport
2386,PLW,-0.917694,119.909,Palu,Mutiara Airport
2387,PLX,50.3517,80.2336,Semipalatinsk,Semipalatinsk
2388,PLZ,-33.9861,25.6139,Port Elizabeth,H F Verwoerd Airport
2389,PMA,-5.2539,39.8125,Pemba,Pemba Airport
2390,PMC,-41.4319,-73.0928,Los Quemas,El Tepual International Airport
2391,PMD,34.6294,-118.084,Palmdale,Air Force Plant Nr 42 Palmdale
2392,PME,50.8303,-1.05586,Portsmouth,Portsmouth Airport
2393,PMF,44.8232,10.2949,Parma,Parma Airport
2394,PMI,39.5495,2.73188,Palma,Palma de Mallorca Airport
2395,PML,55.9833,-160.533,Port Moller,Port Moller
2396,PMO,38.1822,13.1031,Cinisi,Palermo Airport
2397,PMR,-40.3227,175.611,Palmerston North,Palmerston North Airport
2398,PMV,10.9167,-63.98,Pampatar,Del Caribe International Airport
2399,PMW,-10.2417,-48.3528,Palmas,Palmas Airport
2400,PMY,-42.7597,-65.11,Puerto Madryn,El Tehuelche Airport
2401,PMZ,8.9531,-83.4703,Palmar Sur,Palmar Sur Airport
2402,PNA,42.7672,-1.64017,Noáin,Pamplona Airport
2403,PND,16.0977,-88.8303,Punta Gorda,Punta Gorda Airport
2404,PNH,11.5458,104.849,Phnom Penh,Pochentong Airport
2405,PNI,6.9847,158.215,Palikir,Pohnpei International Airport
2406,PNK,-0.1481,109.403,Pontianak,Supadio Airport
2407,PNL,36.8185,11.963,Pantelleria,Pantelleria Airport
2408,PNP,-8.8056,148.309,Popondetta,Girua Airport
2409,PNQ,18.5817,73.9206,Pune,Pune Airport
2410,PNR,-4.8128,11.8856,Pointe-Noire,Pointe Noire Airport
2411,PNS,30.4761,-87.1941,Pensacola,Pensacola Regional Airport
2412,PNZ,-9.3647,-40.5658,Petrolina,Senador Nilo Coelho Airport
2413,POA,-29.9933,-51.1708,Porto Alegre,Salgado Filho International Airport
2414,POG,-0.7197,8.7514,Port-Gentil,Port Gentil Airport
2415,POL,-12.9883,40.5225,Pemba,Pemba Airport
2416,POM,-9.4425,147.219,Port Moresby,Port Moresby International Airport
2417,POP,19.7575,-70.5692,San Felipe de Puerto Plata,Puerto Plata International Airport
2418,POR,61.462,21.7988,Pori,Pori Airport
2419,POS,10.5936,-61.3386,Trinidad,Piarco Airport
2420,POZ,52.4284,16.8208,Poznan,Lawica Airport
2421,PPB,-22.1778,-51.4208,Presidente Prudente,Presidente Prudente Airport
2422,PPE,31.35,-113.526,Pto. Penasco,Punta Penasco Airport
2423,PPG,-14.3242,-170.706,Pago Pago,Pago Pago International Airport
2424,PPK,54.7833,69.1833,Petropavlovsk,Petropavlovsk
2425,PPL,28.3948,84.1278,Phaplu,Nepal
2426,PPN,2.45,-76.6164,Popayán,Guillermo Leon Valencia Airport
2427,PPP,-20.4939,148.554,Brandy Creek,Proserpine Aerodrome
2428,PPS,9.7433,118.756,Puerto Princesa,Puerto Princesa International Airport
2429,PPT,-17.5578,-149.611,Papeete,Tahiti Faaa Airport
2430,PPV,62.8903,-149.054,Port Protection,Alaska
2431,PQC,10.2233,103.958,Kien Giang,Duong Dong Airport
2432,PQI,46.6921,-68.0447,Presque Isle,Northern Maine Regional Airport
2433,PQQ,-31.4309,152.866,Port Macquarie,Port Macquarie Airport
2434,PQS,61.9362,-162.882,Pilot Station,Pilot Station
2435,PRC,34.6492,-112.428,Prescott,Ernest A Love Field Airport
2436,PRG,50.1079,14.2675,Prague 6,Prague Ruzyne Airport
2437,PRI,-4.3158,55.6958,Praslin Island,Praslin Airport
2438,PRN,42.5753,21.0364,Prishtina,Pristina Airport
2439,PSA,43.6959,10.3976,Pisa,Pisa Airport
2440,PSC,46.2592,-119.117,Pasco,Tri Cities Airport
2441,PSE,18.0116,-66.5664,Coto Laurel,Mercedita Airport
2442,PSG,56.8067,-132.933,Petersburg,Petersburg James A Johnson Airport
2443,PSO,1.4108,-77.2922,Chachagüí,Antonio Narino Airport
2444,PSP,33.8227,-116.509,Palm Springs,Palm Springs International Airport
2445,PSR,42.4337,14.1846,Pescara,Pescara Airport
2446,PSS,-27.3839,-55.9675,Posadas,Posadas Airport
2447,PSZ,-18.9747,-57.8194,Puerto Suárez,Salvador Ogaya Gutierrez Airport
2448,PTA,60.3956,-154.494,Port Alsworth,Port Alsworth
2449,PTF,-17.7818,177.2,Malololailai,Malololailai Airport
2450,PTG,-23.9236,29.4833,Pietersburg,Pietersburg Municipal Airport
2451,PTH,56.9667,-158.633,Port Heiden,Port Heiden Airport
2452,PTP,16.2675,-61.5281,Les Abymes,Le Raizet Airport
2453,PTU,58.9216,-161.727,Platinum,Platinum
2454,PTY,9.07,-79.3836,Tocumen,Tocumen International Airport
2455,PUB,38.2836,-104.496,Pueblo,Pueblo Memorial Airport
2456,PUF,43.3823,-0.4166,Lescar,Pont Long Uzein Airport
2457,PUJ,18.5675,-68.3469,Salvaleón de Higüey,Punta Cana Airport
2458,PUK,21.0754,-156.793,Pukarua,Pukarua
2459,PUQ,-53.0033,-70.8558,Punta Arenas,Carlos Ibanez de Campo International Airport
2460,PUS,35.1777,128.937,Busan,Kimhae International Airport
2461,PUU,0.5061,-76.5022,Puerto Asís,Puerto Asis Airport
2462,PUW,46.743,-117.119,Pullman,Pullman-Moscow Regional Airport
2463,PUY,44.8939,13.9272,Pluj,Pula Airport
2464,PVA,13.3577,-81.3535,San Andrés,Providencia Island Airport
2465,PVC,42.0771,-70.2169,Provincetown,Provincetown Municipal Airport
2466,PVD,41.723,-71.4399,Warwick,Theodore Francis Green State Airport
2467,PVG,31.1156,121.803,Huinan,Pudong International Airport
2468,PVH,-8.7133,-63.9022,Pôrto Velho,Governador Jorge Teixeira de Oliveira Internatio
2469,PVK,38.9261,20.7667,Paliambela,Preveza Airport
2470,PVR,20.6819,-105.248,Puerto Vallarta,Lic Gustavo Diaz Ordaz International Airport
2471,PWE,69.7862,170.642,Anadyr',Under Construction Pevek Airport
2472,PWK,42.1162,-87.8987,Wheeling,Pal Waukee Airport
