"","city","latitude","longitude","price"
"293","Istanbul",40.898611,29.309167,85
"294","Chios",38.343056,26.140556,85
"295","Kos",36.793333,27.091667,85
"296","Corfu",39.601944,19.911667,85
"297","Naxos",37.082222,25.368611,85
"298","Plaka, Milos",36.696667,24.472778,85
"299","Parikia",37.010278,25.128611,85
"300","Groningen",53.125,6.583333,86
"301","Ostend",51.199722,2.875278,86
"302","Hurghada",27.178611,33.801389,86
"303","Ivano-Frankivsk",48.884167,24.686111,86
"304","São Jorge Island",38.665556,-28.175833,86
"305","Graciosa",39.092222,-28.029722,86
"306","Dakhla",23.718333,-15.931944,87
"307","Grenoble",45.363056,5.332778,87
"308","Umeå",63.791944,20.282778,88
"309","Luleå",65.543889,22.121944,88
"310","Sochi",43.45,39.956667,88
"311","Norwich",52.675833,1.282778,88
"312","Yekaterinburg",56.743056,60.802778,89
"313","Perm",57.914444,56.021111,89
"314","Astrakhan",46.283333,48.006389,89
"315","Kazan",55.606111,49.278611,89
"316","Krasnodar",45.0325,39.166389,89
"317","Astana",51.023056,71.466944,89
"318","Kirov",58.500833,49.342222,89
"319","Mineralnye Vody",44.225,43.081944,89
"320","Saint Peter Port",49.434722,-2.601944,89
"321","Gibraltar",36.151111,-5.349722,89
"322","Icaria",37.682778,26.346944,90
"323","Plovdiv",42.067778,24.850833,90
"324","Dubai",24.896111,55.16,91
"325","Zakynthos Island",37.750833,20.884167,91
"326","Lemnos",39.916944,25.236389,92
"327","Barra",57.025556,-7.449722,92
"328","Bodrum",37.250556,27.664444,94
"329","Burgas",42.569722,27.515278,94
"330","Enfidha",36.075556,10.438333,94
"331","Karpathos",35.421389,27.146111,94
"332","Oran",35.623889,-0.621111,95
"333","Tlemcen",35.013333,-1.457778,95
"334","Zaporizhia",47.866944,35.315556,95
"335","Béjaïa",36.711944,5.07,95
"336","Östersund",63.194444,14.500278,95
"337","Oulu",64.93,25.354444,96
"338","Samara",53.503889,50.151667,96
"339","Sétif",36.178056,5.324444,96
"340","İzmir",38.2925,27.156944,96
"341","Narvik",68.491389,16.678056,97
"342","Bodø",67.269167,14.365278,97
"343","Kirkenes",69.725833,29.891389,97
"344","Alta",69.976111,23.371667,97
"345","Jijel",36.795,5.873611,97
"346","Konya",37.978889,32.561944,97
"347","Tétouan",35.59,-5.328056,97
"348","Eilat",29.558333,34.958889,97
"349","Sharm El Sheikh",27.977222,34.395,98
"350","Cheboksary",56.090278,47.347222,98
"351","Ankara",40.128056,32.995,98
"352","Melilla",35.279722,-2.956389,99
"353","Ivanovo",56.941178,40.933176,99
