,code,lat,lon
385,BPY,-16.7431,44.4803
386,BQK,31.2525,-81.4703
387,BQL,-22.9122,139.897
388,BQN,18.496,-67.1357
389,BQS,50.4243,127.409
390,BRA,-12.0792,-45.01
391,BRC,-41.1511,-71.1581
392,BRD,46.3909,-94.1413
393,BRE,53.0523,8.78533
394,BRF,54.3139,-2.23218
395,BRI,41.1376,16.7674
396,BRK,-30.0403,145.953
397,BRL,40.7816,-91.1197
398,BRM,10.0453,-69.3561
399,BRN,46.9124,7.49929
400,BRO,25.9064,-97.4321
401,BRQ,49.1535,16.6908
402,BRR,57.0251,-7.44967
403,BRS,51.3848,-2.70526
404,BRU,50.899,4.4859
405,BRV,53.5537,8.78359
406,BRW,71.2892,-156.772
407,BSA,11.2775,49.1814
408,BSB,-15.8622,-47.9122
409,BSC,6.1786,-77.3956
410,BSD,25.0604,99.1639
411,BSG,1.9046,9.8032
412,BSH,50.8333,-0.13333
413,BSK,34.7933,5.74
414,BSL,47.5998,7.532
415,BSO,20.4531,121.978
416,BSR,30.5481,47.6658
417,BSX,45.4264,5.14384
418,BTH,1.1306,104.134
419,BTI,70.1478,-143.579
420,BTJ,5.5197,95.4181
421,BTK,56.1667,102.067
422,BTL,42.3046,-85.2448
423,BTM,45.9544,-112.503
424,BTR,30.533,-91.1567
425,BTS,48.2063,17.2055
426,BTT,66.9134,-151.551
427,BTU,3.1728,113.043
428,BTV,44.4688,-73.1552
429,BTZ,40.2344,29.0053
430,BUA,-5.42232,154.673
431,BUC,-17.7484,139.532
432,BUD,47.4453,19.2195
433,BUF,42.9309,-78.738
434,BUL,33.9116,-102.638
435,BUN,3.8183,-76.9931
436,BUO,65.8514,12.344
437,BUQ,-20.0169,28.6181
438,BUR,34.1963,-118.352
439,BUS,50.0662,2.96519
440,BUX,1.5717,30.2128
441,BUZ,28.9494,50.8311
442,BVA,49.4565,2.11552
443,BVB,2.8417,-60.6917
444,BVC,16.0961,-22.8172
445,BVE,45.1487,1.47441
446,BVG,70.8702,29.0294
447,BVH,-12.7014,-60.0931
448,BVI,-25.8971,139.349
449,BWA,27.5042,83.42
450,BWE,52.3165,10.5595
451,BWF,54.1284,-3.26249
452,BWI,39.1841,-76.6745
453,BWK,43.2619,16.655
454,BWN,4.9458,114.924
455,BWT,-40.9935,145.725
456,BWW,22.4922,-79.9408
457,BXR,29.4375,-98.4618
458,BXU,8.9528,125.476
459,BYM,20.3972,-76.6192
460,BYN,62.0526,17.1936
461,BZE,17.5386,-88.3042
462,BZG,53.0918,17.9821
463,BZK,53.2667,34.3333
464,BZL,22.6667,90.3417
465,BZN,45.7722,-111.157
466,BZO,46.4621,11.3282
467,BZR,43.3229,3.35466
468,BZV,-4.2558,15.2497
469,BZZ,51.7614,-1.57482
470,CAB,-5.59,12.1886
471,CAC,-25.0017,-53.5014
472,CAE,33.9468,-81.1241
473,CAG,39.2527,9.05813
474,CAH,9.17667,105.151
475,CAI,30.1206,31.4078
476,CAK,40.9149,-81.4309
477,CAL,55.4388,-5.69997
478,CAN,23.3925,113.299
479,CAP,19.7328,-72.195
480,CAX,54.9375,-2.8106
481,CAY,4.93333,-52.3333
482,CAZ,-31.5334,145.797
483,CBB,-17.4161,-66.1744
484,CBG,52.2069,0.17355
485,CBH,31.6583,-2.2614
486,CBO,7.165,124.208
487,CBQ,4.9756,8.3481
488,CBR,-35.3069,149.195
489,CBT,-12.4827,13.4904
490,CCC,22.4817,-78.4813
491,CCF,43.2153,2.30989
492,CCJ,11.1329,75.9536
493,CCK,-12.1778,96.839
